ImageName,Bicycle,Bridge,Bus,Car,Chimney,Crosswalk,Hydrant,Motorcycle,Other,Palm,Stair,Traffic Light
03000.png,-0.91850954,-1.4586527,0.1738053,3.9294949,-0.9089248,-0.80661905,-1.339983,-0.5989192,0.100651264,0.88300836,-1.0815468,-0.7106538
03001.png,-0.7130153,-0.8099022,-0.63785934,1.9427867,-1.0612104,0.56414485,-1.1539342,-1.9699543,2.1699948,-1.073834,-1.510829,0.8107087
03002.png,-0.9761798,-0.28827104,0.056678526,4.415736,-0.8946456,0.07710571,-0.7884014,-0.5557369,-0.06985536,-0.76608324,-1.0772383,-1.1566573
03003.png,-1.1921995,-0.9795333,2.5030985,0.2610777,-1.0262747,0.28483325,-0.6064162,-1.8126893,1.2590464,-1.5642334,-0.9874712,0.5065906
03004.png,2.5892096,-0.89561284,-0.8242655,0.6214299,-0.9870725,0.15929388,-0.3689677,0.5547228,0.8614815,-0.7250957,-0.78036845,-0.35978496
03005.png,-0.88128036,-0.9216333,-0.13381305,3.9561872,-0.98029625,0.089243725,-0.9575832,-0.6535805,-0.6215982,1.162614,-1.1592826,-0.9677775
03006.png,-1.1679845,-0.6384132,0.06030032,2.5690975,-1.1321169,-0.3895664,-1.461862,-1.6717645,2.0379188,-0.54106563,-1.5200722,1.0199754
03007.png,-0.25830498,-0.87134504,0.08765873,1.1823788,-0.83753705,-0.10771033,1.266361,-1.3350222,1.4176223,0.10576585,-0.9310765,-0.29595214
03008.png,4.562221,-1.1017994,-0.6167636,-0.61938846,-0.20541584,-0.8024391,0.2971557,0.64021486,-0.48168418,-0.24505527,-0.21090637,-0.10145834
03009.png,-1.1080968,-0.5994573,-0.62391746,3.5109944,-1.1636851,0.4836971,-1.2867439,-1.3370217,0.8238078,-1.2077236,-1.5863029,1.0613639
03010.png,-0.50362897,-0.31322363,4.4848514,-0.13510421,-0.5300992,-0.39220053,-0.89027965,-0.46579662,0.33201957,-0.5980806,-0.3928666,-0.8579779
03011.png,-0.5049176,0.23191297,-1.2741803,1.4004457,0.4533676,-0.5995178,-0.32781437,-1.5362877,3.0119789,-1.2365385,-0.5138759,-0.27646884
03012.png,-0.52214587,-1.1198629,-0.37915868,3.9067836,-0.6321696,0.47876832,-0.62281793,-0.80789083,0.23091942,-0.6561875,-0.9160543,-1.1348065
03013.png,-0.509735,-0.7075348,-0.30359787,2.030026,-0.49370104,0.19592063,-0.6398899,-0.9096423,2.881469,-0.7019937,-0.86404896,-0.5139882
03014.png,-0.22018811,-0.8376836,-0.9402312,0.14113124,-1.0123043,1.3083427,-0.32151604,-1.3617661,3.165361,-0.60459566,-0.75218797,-0.48916474
